Day,Date,Holiday Name,Type,Comments
Friday,Jan 01,New Year's Day,Regional Holiday,Several states
Saturday,Jan 02,New Year Celebration,Regional Holiday,Several states
Monday,Jan 04,Barahimizong,Regional Holiday,Sikkim
Monday,Jan 11,Missionary Day,Regional Holiday,Mizoram
Tuesday,Jan 12,Birthday of Swami Vivekananda,Regional Holiday,West Bengal only.
Wednesday,Jan 13,Bhogi,Regional Holiday,Some states
Wednesday,Jan 13,Makara Sankranti,Government Holiday,Some states
Thursday,Jan 14,Pongal,Regional Holiday,
Thursday,Jan 14,Sankranti,Regional Holiday,Several states
Friday,Jan 15,Tusu Puja,Regional Holiday,Assam only
Friday,Jan 15,Thiruvalluvar Day,Regional Holiday,"Puducherry, Tamil Nadu"
Friday,Jan 15,Kanuma,Government Holiday,Andhra Pradesh only
Saturday,Jan 16,Uzhavar Tirunal,Regional Holiday,Tamil Nadu
Wednesday,Jan 20,Guru Gobind Singh Jayanti,Regional Holiday,
Saturday,Jan 23,Netaji Subhas Chandra Bose Jayanti,Regional Holiday,"Assam, Odisha, Tripura, West Bengal"
Monday,Jan 25,Statehood Day,Regional Holiday,Himachal Pradesh only
Monday,Jan 25,Imoinu Iratpa,Regional Holiday,Manipur
Tuesday,Jan 26,Republic Day,Public Holiday,
Tuesday,Jan 26,Gann-Ngai,Regional Holiday,Manipur
Thursday,Jan 28,Thaipoosam,Regional Holiday,Several states
Sunday,Jan 31,Me-dam-me-phi,Regional Holiday,Assam
Friday,Feb 12,Sonam Lhosar,Regional Holiday,
Friday,Feb 12,Losar,Regional Holiday,Tibetan New Year
Monday,Feb 15,Lui-Ngai-Ni,Regional Holiday,Manipur
Tuesday,Feb 16,Vasant Panchami,Regional Holiday,Several states
Friday,Feb 19,Chahhtrapati Shivaji Maharaj Jayanti,Regional Holiday,Maharashtra only
Saturday,Feb 20,Mizoram State Day,Regional Holiday,Mizoram
Saturday,Feb 20,Statehood Day,Regional Holiday,Arunachal Pradesh
Friday,Feb 26,Imam Ali's Birthday,Regional Holiday,Uttar Pradesh only
Saturday,Feb 27,Bir Chilarai Divas,Regional Holiday,Assam
Saturday,Feb 27,Bhumchu Festival,Regional Holiday,Sikkim
Saturday,Feb 27,Guru Ravidas Jayanti,Regional Holiday,Several states.  Full moon of Magh
Friday,Mar 05,Chapchar Kut,Regional Holiday,Mizoram
Friday,Mar 05,Panchayati Raj Diwas,Regional Holiday,Odisha
Monday,Mar 08,International Women's Day,Not A Public Holiday,Telangana. Holiday for female employees
Thursday,Mar 11,Shab-I-Miraj,Regional Holiday,The Prophet's Ascension
Thursday,Mar 11,Maha Shivratri,Regional Holiday,Most states
Sunday,Mar 21,Nauroz,Regional Holiday,
Monday,Mar 22,Bihar Divas,Regional Holiday,Bihar Only
Tuesday,Mar 23,"Shaheedi Diwas of Bhagat Singh, Rajguru and Sukhdev",Regional Holiday,Haryana
Sunday,Mar 28,Holi Dahan,Regional Holiday,Day before Holi
Sunday,Mar 28,Doljatra,Regional Holiday,
Monday,Mar 29,Shab e-Barat,Government Holiday,15 Sha'aban
Monday,Mar 29,Shab e-Barat,Regional Holiday,15 Sha'aban
Monday,Mar 29,Holi,Regional Holiday,
Monday,Mar 29,Yaosang 2nd Day,Regional Holiday,Manipur
Monday,Mar 29,Holi,Government Holiday,
Tuesday,Mar 30,Holi Holiday,Regional Holiday,
Thursday,Apr 01,Bank Holiday,Not A Public Holiday,Banks only. Annual accounts closing
Thursday,Apr 01,Odisha Day,Regional Holiday,Odisha
Friday,Apr 02,Good Friday,Regional Holiday,
Sunday,Apr 04,Easter Sunday,Regional Holiday,
Monday,Apr 05,Babu Jagjivan Ram Birthday,Regional Holiday,"Andhra Pradesh, Telangana only"
Monday,Apr 05,Babu Jagjivan Ram Birthday,Government Holiday,"Andhra Pradesh, Telangana only"
Thursday,Apr 08,Birthday of Sri Guru Nabha Dass Ji,Regional Holiday,Punjab
Tuesday,Apr 13,Cheti Chand,Regional Holiday,
Tuesday,Apr 13,Sajibu Nongma Panba,Regional Holiday,Manipur
Tuesday,Apr 13,1st Navratra,Regional Holiday,Jammu and Kashmir
Tuesday,Apr 13,Gudi Padwa,Regional Holiday,
Tuesday,Apr 13,Ugadi,Regional Holiday,Telugu and Kannada New Year
Tuesday,Apr 13,Vaisakhi,Regional Holiday,several states
Wednesday,Apr 14,Vishu,Regional Holiday,Kerala Only
Wednesday,Apr 14,Cheiraoba,Regional Holiday,Manipur
Wednesday,Apr 14,Tamil New Year,Regional Holiday,"Puthandu. Puducherry, Tamil Nadu"
Wednesday,Apr 14,Biju Festival,Regional Holiday,Tripura
Wednesday,Apr 14,Dr Ambedkar Jayanti,Public Holiday,
Wednesday,Apr 14,Bohag Bihu Holiday,Regional Holiday,Assam only
Wednesday,Apr 14,Mahabishuba Sankranti,Regional Holiday,Odisha
Thursday,Apr 15,Himachal Day,Regional Holiday,Himachal Pradesh only
Thursday,Apr 15,Sarhul,Regional Holiday,Jahrkhand
Thursday,Apr 15,Bengali New Year,Regional Holiday,"Tripura, West Bengal only"
Thursday,Apr 15,Bohag Bihu,Regional Holiday,Assamese New Year. Assam only
Friday,Apr 16,Bohag Bihu Holiday,Regional Holiday,Assam only
Tuesday,Apr 20,Ashoka's Birth Anniversary,Regional Holiday,Bihar only
Wednesday,Apr 21,Sati Sadhani Divas,Regional Holiday,Assam
Wednesday,Apr 21,Ram Navami,Regional Holiday,
Wednesday,Apr 21,Garia Puja,Regional Holiday,Tripura only. 7th day of Vaishakha
Wednesday,Apr 21,Ram Navami,Government Holiday,
Thursday,Apr 22,Garia Puja Holiday,Regional Holiday,Tripura only
Friday,Apr 23,Veer Kunvar Singh Jayanti,Regional Holiday,Bihar
Sunday,Apr 25,Mahavir Jayanti,Regional Holiday,
Saturday,May 01,Maharashtra Day,Regional Holiday,Maharashtra only
Saturday,May 01,Guru Tegh Bahadur Ji's Birthday,Regional Holiday,Punjab only
Saturday,May 01,Labour Day,Regional Holiday,Many states
Friday,May 07,Jumat-ul-Wida,Regional Holiday,Last Friday of the month of Ramadan
Sunday,May 09,Shab-I-Qadr,Regional Holiday,Jammu and Kashmir
Sunday,May 09,Birthday of Rabindra Nath Tagore,Regional Holiday,"Tripura, West Bengal"
Wednesday,May 12,Tithi of Damodar Deva,Regional Holiday,Assam only
Thursday,May 13,Eid ul-Fitr,Regional Holiday,Several states
Thursday,May 13,Idul Fitr,Regional Holiday,Most states
Friday,May 14,Parashurama Jayanti,Regional Holiday,Several states
Friday,May 14,Basava Jayanthi,Regional Holiday,Karnataka
Friday,May 14,Idul Fitr,Regional Holiday,Several states
Saturday,May 15,Following Day of Ramazan,Regional Holiday,Telengana
Sunday,May 16,Sikkim State Day,Regional Holiday,Sikkim only
Thursday,May 20,Janaki Nawami,Regional Holiday,
Wednesday,May 26,Buddha Purnima,Regional Holiday,Birth of Buddha
Wednesday,May 26,Birthday of Kazi Nazrul Islam,Regional Holiday,Tripura
Thursday,May 27,Janmotsav of Sri Sri Madhav Dev,Regional Holiday,Assam
Thursday,Jun 10,Savitri Amavasya,Regional Holiday,Odisha
Sunday,Jun 13,Maharana Pratap Jayanti,Regional Holiday,
Monday,Jun 14,Guru Arjun Dev Martyrdom day,Regional Holiday,"Punjab, Uttarakhand"
Monday,Jun 14,Pahili Raja,Regional Holiday,Odisha
Tuesday,Jun 15,Raja Sankranti,Regional Holiday,Odisha only
Tuesday,Jun 15,YMA Day,Regional Holiday,Mizoram
Thursday,Jun 24,Kabir Jayanthi,Regional Holiday,Gazetted holiday in several states
Thursday,Jun 24,Sant Guru Kabir Jayanti,Regional Holiday,Full moon in Hindu month of Jyeshtha
Friday,Jun 25,Guru Hargobind Ji's Birthday,Regional Holiday,Jammu and Kashmir
Wednesday,Jun 30,Remna Ni,Regional Holiday,Mizoram
Thursday,Jul 01,Doctor's Day,Regional Holiday,West Bengal
Tuesday,Jul 06,MHIP Day,Regional Holiday,Mizoram
Sunday,Jul 11,Behdienkhlam,Regional Holiday,Meghalaya
Monday,Jul 12,Ratha Yatra,Regional Holiday,Odisha
Wednesday,Jul 14,Drukpa Tsheshi,Regional Holiday,Sikkim
Friday,Jul 16,Harela,Regional Holiday,Uttarakhand
Saturday,Jul 17,Kharchi Puja,Regional Holiday,Tripura only
Saturday,Jul 17,U Tirot Sing Day,Regional Holiday,Meghalaya
Tuesday,Jul 20,Eid-ul-Azha,Regional Holiday,Jammu & Kashmir
Wednesday,Jul 21,Bakrid,Regional Holiday,Many states
Wednesday,Jul 21,Eid-ul-Azha Holiday,Regional Holiday,Many states
Saturday,Jul 31,Ker Puja,Regional Holiday,Tripura only
Saturday,Jul 31,Martyrdom Day of Shaheed Udham Singh,Regional Holiday,"Haryana, Punjab only"
Monday,Aug 02,Bonalu,Regional Holiday,
Monday,Aug 09,Adivasi Divas,Regional Holiday,
Friday,Aug 13,Patriot's Day,Regional Holiday,Observed on August 13th
Sunday,Aug 15,Independence Day,Public Holiday,
Monday,Aug 16,De jure Transfer Day,Regional Holiday,Puducherry
Monday,Aug 16,Parsi New Year,Regional Holiday,Jamshed Navroz
Thursday,Aug 19,Ashura,Regional Holiday,Many states
Friday,Aug 20,Ashura,Regional Holiday,Many states
Friday,Aug 20,First Onam,Regional Holiday,Kerala only. Harvest Festival
Saturday,Aug 21,Thiruvonam,Regional Holiday,Kerala only. Harvest Festival
Sunday,Aug 22,Raksha Bandhan,Regional Holiday,Several states
Monday,Aug 23,Public Holiday,Regional Holiday,Mourn the death of Kalyan Singh
Monday,Aug 23,Sree Narayana Guru Jayanti,Regional Holiday,Kerala
Friday,Aug 27,Tithi of Sri Sri Madhav Dev,Regional Holiday,Assam only
Sunday,Aug 29,Karam Puja,Regional Holiday,Assam
Monday,Aug 30,Janmashtami,Regional Holiday,
Monday,Aug 30,Krishna Jayanthi,Regional Holiday,Restricted Holiday
Tuesday,Aug 31,Sri Krishna Astami,Regional Holiday,
Wednesday,Sep 08,Tithi of Srimatna Sankardev,Regional Holiday,Assam only
Thursday,Sep 09,Haritalika Teej,Regional Holiday,Women only
Friday,Sep 10,Ganesh Chaturthi,Government Holiday,Varasiddhi Vinayaka Vrata
Friday,Sep 10,Ganesh Chaturthi,Regional Holiday,Varasiddhi Vinayaka Vrata
Friday,Sep 10,Samvatsari,Regional Holiday,
Friday,Sep 10,Vinayagar Chathurthi,Regional Holiday,Ganesh Chaturthi
Saturday,Sep 11,Ganesh Chaturthi Holiday,Regional Holiday,Varasiddhi Vinayaka Vrata
Saturday,Sep 11,Nuakhai,Regional Holiday,Odisha only. Day after Ganesh Chaturthi
Sunday,Sep 12,Public Holiday,Government Holiday,Haryana
Thursday,Sep 16,Ramdev Jayanti and Teja Dashmi,Regional Holiday,Rajasthan only
Monday,Sep 20,Indra Jatra,Regional Holiday,Sikkim
Tuesday,Sep 21,Sree Narayana Guru Samadhi,Regional Holiday,Kerala
Thursday,Sep 23,Haryana Heroes' Martyrdom Day,Regional Holiday,Haryana
Tuesday,Sep 28,Chehlum,Regional Holiday,Safar 20
Saturday,Oct 02,Mahatma Gandhi Birthday,Public Holiday,
Tuesday,Oct 05,Birthday of Nar Bahadur Bhandari,Regional Holiday,Sikkim
Wednesday,Oct 06,Mahalaya,Regional Holiday,Several states
Wednesday,Oct 06,Bathukamma Starting Day,Regional Holiday,Nine days before Durgatsami
Thursday,Oct 07,Maharaja Agrasen Jayanti,Regional Holiday,"Haryana, Punjab, Rajasthan only"
Thursday,Oct 07,Mera Chaoren Houba,Regional Holiday,Manipur
Tuesday,Oct 12,Maha Saptami,Regional Holiday,Several states
Wednesday,Oct 13,Durga Ashtami,Regional Holiday,Several states
Wednesday,Oct 13,Durgashtami,Government Holiday,Several states
Thursday,Oct 14,Navami of Durga Puja,Regional Holiday,Some states
Thursday,Oct 14,Mahanavami,Regional Holiday,Ninth day of Dussehra
Thursday,Oct 14,Ayudha Puja,Regional Holiday,Several states
Friday,Oct 15,Durga Puja,Regional Holiday,
Friday,Oct 15,Dussehra,Regional Holiday,Vijaya Dashami
Friday,Oct 15,Janmostav of Srimatna Sankardev,Regional Holiday,Assam only
Saturday,Oct 16,Following day of Vijaya Dasami Holiday,Regional Holiday,
Monday,Oct 18,Kati Bihu,Regional Holiday,Assam
Tuesday,Oct 19,Mawlid,Regional Holiday,Birthday of Prophet Muhammad
Wednesday,Oct 20,Lakshmi Puja,Regional Holiday,Tripura
Wednesday,Oct 20,Lakshmi Puja,Regional Holiday,"Odisha, West Bengal "
Wednesday,Oct 20,Maharishi Valmiki Birthday,Regional Holiday,Several states
Wednesday,Oct 20,Maulud Nabi,Government Holiday,Birthday of Prophet Muhammad
Wednesday,Oct 20,Maulud Nabi,Regional Holiday,Birthday of Prophet Muhammad
Friday,Oct 22,Friday after Eid e-Milad-un Nabi,Regional Holiday,Jammu and Kashmir
Tuesday,Oct 26,Accession Day,Regional Holiday,Jammu and Kashmir
Wednesday,Oct 27,Lhabab Duechen,Regional Holiday,
Sunday,Oct 31,Sardar Patel's Birthday,Regional Holiday,Gujarat
Monday,Nov 01,Haryana Day,Regional Holiday,Haryana only
Monday,Nov 01,Puducherry Liberation Day,Regional Holiday,
Monday,Nov 01,Kannada Rajyothsava,Regional Holiday,Karnataka only
Monday,Nov 01,Kut,Regional Holiday,Manipur
Wednesday,Nov 03,Narak Chaturdashi,Regional Holiday,Karnataka
Thursday,Nov 04,Diwali,Regional Holiday,Most states
Thursday,Nov 04,Kali Puja,Regional Holiday,"Assam, Odisha, West Bengal"
Thursday,Nov 04,Diwali Amavasaya,Regional Holiday,Many states
Friday,Nov 05,Diwali,Regional Holiday,Most states
Friday,Nov 05,Vikram Samvat New Year,Regional Holiday,Gujarat only.
Friday,Nov 05,Vishvakarma Day,Regional Holiday,Day after Dewali
Friday,Nov 05,Govardhan Puja,Regional Holiday,"Uttar Pradesh, Uttarakhand"
Friday,Nov 05,Deepavali Holiday,Regional Holiday,Deepavali
Friday,Nov 05,Ningol Chakkouba,Regional Holiday,2nd day of the lunar month of Hiyanggei
Saturday,Nov 06,Bhai Bij,Regional Holiday,Some states
Wednesday,Nov 10,Chhath Puja,Regional Holiday,Some states
Thursday,Nov 11,Chhath Puja Holiday,Regional Holiday,Some states
Friday,Nov 12,Wangala Festival,Regional Holiday,Meghalaya. Second week of November
Friday,Nov 19,Guru Nanak's Birthday,Regional Holiday,Full moon of the month Kartik
Friday,Nov 19,Rasa Purnima,Regional Holiday,Odisha only
Monday,Nov 22,Kanakadasa Jayanthi,Regional Holiday,Karnataka
Tuesday,Nov 23,Seng Kut Snem,Regional Holiday,Meghalaya
Wednesday,Nov 24,Lachit Divas,Regional Holiday,Assam
Wednesday,Dec 01,State Inauguration Day,Regional Holiday,Nagaland
Wednesday,Dec 01,Indigenous Faith Day,Regional Holiday,Arunachal Pradesh
Thursday,Dec 02,Asom Divas,Regional Holiday,Assam only
Friday,Dec 03,Feast of St. Francis Xavier,Regional Holiday,Goa
Wednesday,Dec 08,Martyrdom of Sri Guru Teg Bahadur Ji,Regional Holiday,Punjab only
Saturday,Dec 18,Guru Ghasidas Jayanti,Regional Holiday,
Saturday,Dec 18,Death Anniversary of U SoSo Tham,Regional Holiday,Meghalaya
Sunday,Dec 19,Goa Liberation Day,Regional Holiday,Goa only
Sunday,Dec 19,Teyongsi Sirijunga Sawan Tongnam,Regional Holiday,Sikkim
Thursday,Dec 23,Christmas Holiday,Regional Holiday,
Friday,Dec 24,Barahimizong,Regional Holiday,Sikkim
Friday,Dec 24,Christmas Holiday,Regional Holiday,
Friday,Dec 24,Sakewa,Regional Holiday,Sikkim
Friday,Dec 24,Christmas Eve,Regional Holiday,
Saturday,Dec 25,Christmas Day,Regional Holiday,Observed in all states
Sunday,Dec 26,Boxing Day,Regional Holiday,
Sunday,Dec 26,Christmas Holiday,Regional Holiday,
Monday,Dec 27,Christmas Holiday,Regional Holiday,
Monday,Dec 27,Christmas (in lieu),Regional Holiday,
Tuesday,Dec 28,Christmas Holiday,Regional Holiday,
Wednesday,Dec 29,Christmas Holiday,Regional Holiday,
Thursday,Dec 30,Tamu Lhosar,Regional Holiday,
Thursday,Dec 30,Christmas Holiday,Regional Holiday,
Thursday,Dec 30,U Kiang Nangbah,Regional Holiday,Meghalaya
Friday,Dec 31,Christmas Holiday,Regional Holiday,
Friday,Dec 31,New Year's Eve,Regional Holiday,
